MC_ID	S_ID	 ART	Response time 	WQT	CD	QL	CR
MC_1	S_43	63.1251643	5.9992275	5.9992275	57.1259368	0	82.84
MC_1	S_32	61.1587934	3.8010934	3.8010934	57.3577	0	82.86
MC_1	S_36	62.1237603	4.7873268	4.7863309	57.3374294	0	82.86
MC_1	S_2	46.4610207	3.2549284	3.2548137	43.206207	2	62.14
MC_1	S_7	108.8678423	49.5134407	49.5124362	59.3554061	2	85.82
MC_1	S_33	149.240462	103.9321977	103.9311933	45.3092687	2	65.1
MC_1	S_44	118.1641638	73.9313683	73.9313683	44.2327955	2	63.62
MC_1	S_8	150.6478756	90.3821808	90.3820983	60.2657773	2	87.28
MC_1	S_18	118.4562575	73.1890079	73.1890079	45.2672496	3	65.1
MC_1	S_5	144.4764617	84.1063642	84.1063642	60.3700975	4	87.3
MC_1	S_34	149.0043665	103.7243559	103.7243559	45.2800106	4	65.1
