MC_ID	S_ID	 ART	Response time 	WQT	CD	QL	CR
MC_1	S_2	47.0493483	3.7527726	3.7518136	43.2955738	2	62.14
MC_1	S_33	84.6608671	40.4553658	40.4553658	44.2055013	5	63.62
MC_1	S_44	128.9874234	84.6963961	84.6963961	44.2910273	5	63.62
MC_1	S_18	140.4188992	95.1545163	95.1539162	45.264983	6	65.1
MC_1	S_34	184.3391771	138.0738532	138.0738532	46.2653239	7	66.58
MC_1	S_48	233.0213287	186.8225989	186.8225989	46.1987298	7	66.58
MC_1	S_50	284.0380694	236.8569178	236.8489317	47.1891377	7	68.06
MC_1	S_20	296.7584115	248.4298144	248.4298144	48.3285971	6	69.54
MC_1	S_30	294.4944787	246.227412	246.2264078	48.2680709	6	69.54
MC_1	S_45	341.8383649	292.6085855	292.6085855	49.2297794	6	71.02
MC_1	S_6	364.9672667	314.7564165	314.7514293	50.2158374	7	72.5
MC_1	S_21	414.689954	363.3937083	363.3937083	51.2962457	6	73.98
MC_1	S_15	426.1362646	374.9350254	374.9340171	51.2022475	7	73.98
MC_1	S_4	438.1201513	385.7957866	385.7948185	52.3253328	8	75.46
MC_1	S_37	380.7078618	327.4794165	327.4794165	53.2284453	10	76.94
MC_1	S_9	352.2554627	297.9611628	297.960164	54.2952987	10	78.42
MC_1	S_24	402.8646673	348.5742741	348.5732298	54.2914375	11	78.42
MC_1	S_47	453.7584368	398.4481937	398.4451959	55.3132409	14	79.9
MC_1	S_12	376.7456782	320.4195153	320.4195153	56.3261629	14	81.38
MC_1	S_39	426.9682009	369.6378046	369.6367989	57.331402	15	82.86
MC_1	S_11	454.0657335	395.781734	395.781734	58.2839995	16	84.34
MC_1	S_19	513.9897935	454.6538529	454.652855	59.3369385	16	85.82
MC_1	S_13	531.9851339	472.6081855	472.6081024	59.3770315	17	85.82
MC_1	S_27	589.4143459	529.0835823	529.0834761	60.3308698	18	87.3
MC_1	S_29	653.5174099	592.2851153	592.2841106	61.2332993	21	88.78
MC_1	S_49	663.536266	601.2116107	601.2116107	62.3246553	23	90.26
MC_1	S_38	683.1932953	619.8500342	619.8500342	63.3432611	23	91.74
MC_1	S_42	751.1283357	686.8235853	686.8205321	64.3078036	22	93.22
MC_1	S_26	779.2023812	713.798607	713.7976026	65.4047786	21	94.7
MC_1	S_28	850.2125632	783.8138561	783.8137457	66.3988175	20	96.16
MC_1	S_41	917.8817562	851.5530499	851.5520433	66.3297129	19	96.18
MC_1	S_1	957.2501071	889.922085	889.9210796	67.3290275	18	97.68
MC_1	S_43	964.047348	896.711767	896.7107949	67.3365531	17	97.68
MC_1	S_32	990.0661689	922.6177119	922.6176253	67.4485436	16	97.68
MC_1	S_36	1060.2255698	992.8513901	992.8503845	67.3751853	15	97.68
MC_1	S_7	1095.4726432	1028.1319848	1028.1259635	67.3466797	14	97.68
MC_1	S_8	1118.0351251	1050.7379767	1050.7379767	67.2971484	13	97.68
MC_1	S_5	1136.7614606	1069.4912612	1069.4912612	67.2701994	12	97.68
MC_1	S_46	1190.6511986	1123.3549837	1123.3548954	67.2963032	11	97.68
MC_1	S_31	1217.5159899	1150.1384838	1150.1374803	67.3785096	10	97.68
MC_1	S_25	1241.5841192	1174.1464563	1174.1454568	67.4386624	9	97.68
MC_1	S_35	1309.6028815	1242.2639527	1242.262995	67.3398865	8	97.68
MC_1	S_22	1338.1045801	1270.700614	1270.6996091	67.404971	7	97.68
MC_1	S_3	1366.188009	1298.7495553	1298.7326295	67.4553795	6	97.68
MC_1	S_17	1434.0800919	1366.7499311	1366.7498459	67.330246	5	97.68
MC_1	S_23	1502.6695122	1435.2984696	1435.2975092	67.372003	4	97.68
MC_1	S_40	1566.5666144	1499.1945696	1499.1944685	67.3721459	3	97.68
MC_1	S_10	1604.4544872	1537.0710237	1537.070019	67.3844682	2	97.68
MC_1	S_14	1674.7894149	1607.5094494	1607.5094494	67.2799655	1	97.68
MC_1	S_16	1695.6498182	1628.2163263	1628.2153569	67.4344613	1	97.68
MC_1	S_2	88.2599249	44.0136605	44.0126571	44.2472678	1	63.62
MC_1	S_33	50.3713412	7.1721849	7.1721098	43.1992314	1	62.14
MC_1	S_44	94.6386915	50.3908898	50.3908898	44.2478017	0	63.62
MC_1	S_18	48.6517473	4.4074974	4.4065	44.2452473	0	63.62
MC_1	S_34	49.9924647	5.6658386	5.6657553	44.3267094	1	63.62
MC_1	S_48	97.0371353	51.7481807	51.747184	45.2899513	1	65.1
MC_1	S_50	70.6530539	26.4068925	26.4068925	44.2461614	0	63.62
MC_1	S_20	47.7668981	2.5524352	2.5524352	45.2144629	0	65.1
MC_1	S_30	49.9843969	4.7345843	4.7345843	45.2498126	0	65.1
MC_1	S_45	49.3919883	4.1385842	4.1385842	45.2534041	0	65.1
MC_1	S_6	52.7009609	6.4028993	6.4018927	46.2990682	0	66.58
MC_1	S_21	51.3377134	5.1019574	5.1019574	46.235756	1	66.58
MC_1	S_15	58.189378	10.9572006	10.9561579	47.2332201	0	68.06
MC_1	S_4	54.1350216	6.7952237	6.7951332	47.3398884	0	68.06
MC_1	S_37	52.7266547	3.4482145	3.4472349	49.2794198	0	71.02
MC_1	S_9	54.5441312	4.2591159	4.2581114	50.2860198	1	72.5
MC_1	S_24	102.6318954	51.27376	51.2728034	51.359092	1	73.98
MC_1	S_47	72.7536945	22.4550009	22.4547142	50.2989803	0	72.5
MC_1	S_12	54.6464134	2.3501597	2.3491201	52.2972933	0	75.46
MC_1	S_39	57.6020884	5.2885137	5.2884379	52.3136505	0	75.46
MC_1	S_11	59.1891983	6.0296516	6.0296516	53.1595467	0	76.92
MC_1	S_19	57.8485144	4.5388996	4.5378937	53.3106207	1	76.94
MC_1	S_13	69.5242469	16.2162941	16.2162941	53.3079528	0	76.94
MC_1	S_27	56.6146497	3.3786281	3.3776245	53.2370252	0	76.94
MC_1	S_29	57.1474537	3.8866161	3.8865327	53.260921	0	76.94
MC_1	S_49	60.0288228	5.7874101	5.7874101	54.2414127	0	78.42
MC_1	S_38	59.0959774	3.7841828	3.7840732	55.3119042	0	79.9
MC_1	S_42	60.9019392	5.6092126	5.6082072	55.293732	0	79.9
MC_1	S_26	60.1555768	4.8187826	4.8178123	55.3377645	0	79.9
MC_1	S_28	60.9493338	5.6238767	5.622869	55.3264648	1	79.9
MC_1	S_41	118.5454129	62.2837693	62.2834036	56.2620093	0	81.38
MC_1	S_1	63.1963203	6.97779	6.97779	56.2185303	0	81.36
