0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
2	2	48
3	3	47
5	5	45
5	5	45
4	4	46
6	6	44
7	7	43
7	7	43
7	7	43
7	7	43
7	7	43
6	6	44
6	6	44
6	6	44
6	6	44
5	5	45
6	6	44
7	7	43
6	6	44
6	6	44
5	5	45
6	6	44
6	6	44
8	8	42
7	7	43
10	10	40
9	9	41
10	10	40
11	11	39
11	11	39
13	13	37
14	14	36
13	13	37
14	14	36
13	13	37
15	15	35
15	15	35
15	15	35
15	15	35
15	15	35
16	16	34
16	16	34
16	16	34
18	18	32
17	17	33
18	18	32
21	21	29
21	21	29
23	23	27
22	22	28
23	23	27
22	22	28
22	22	28
21	21	29
21	21	29
21	21	29
20	20	30
20	20	30
19	19	31
19	19	31
19	19	31
18	18	32
18	18	32
17	17	33
17	17	33
16	16	34
16	16	34
16	16	34
15	15	35
15	15	35
14	14	36
14	14	36
14	14	36
13	13	37
13	13	37
12	12	38
12	12	38
11	11	39
11	11	39
11	11	39
10	10	40
10	10	40
9	9	41
9	9	41
9	9	41
8	8	42
8	8	42
7	7	43
7	7	43
6	6	44
6	6	44
6	6	44
5	5	45
5	5	45
4	4	46
4	4	46
4	4	46
3	3	47
3	3	47
2	2	48
2	2	48
1	1	49
1	1	49
1	1	49
0	0	50
1	1	49
0	0	50
0	0	50
1	1	49
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
1	1	49
0	0	50
1	1	49
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
1	1	49
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
1	1	49
1	1	49
0	0	50
1	1	49
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
1	1	49
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
1	1	49
1	1	49
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
0	0	50
2	2	48
1	1	49
1	1	49
1	1	49
2	2	48
1	1	49
1	1	49
1	1	49
2	2	48
2	2	48
3	3	47
2	2	48
4	4	46
3	3	47
